Product Id,Product Name,Price,Link of the product,Color,Scraped Image Link
538115,Navarro Ash Wood and Leather Accent Chair,$1499,https://www.crateandbarrel.com//navarro-ash-wood-and-leather-accent-chair/s538115,[],https://cb.scene7.com/is/image/Crate/NavarroChair3QSSS23/raw/230307134450/navarro-ash-wood-and-leather-accent-chair.jpg
538037,Carlin Antique Black Leather and Cane Accent Chair,$1299,https://www.crateandbarrel.com//carlin-antique-black-leather-and-cane-accent-chair/s538037,[],https://cb.scene7.com/is/image/Crate/CarlinChairAntqBlack3QSSS23/raw/230307140737/carlin-antique-black-leather-and-cane-accent-chair.jpg
414500,Petrie Velvet Mid-Century Chair,$1899,https://www.crateandbarrel.com//petrie-velvet-mid-century-chair/s414500,"['Como Olive', 'Como Asphalt', 'Como Nickel', 'Como Metal', 'Como Cognac']",https://cb.scene7.com/is/image/Crate/item_987_56_1201_911/a/s9JyonuEG5OxnLH9FYNw/item_987_56_1201_911.jpg?
248299,Crawford Accent Chair by Jake Arnold,$1399,https://www.crateandbarrel.com//crawford-accent-chair-by-jake-arnold/s248299,[],https://cb.scene7.com/is/image/Crate/CrawfordChair3QSSS23/raw/230112113319/crawford-accent-chair-by-jake-arnold.jpg
248268,Crawford Slipcovered Chair with Box-Pleated Skirt by Jake Arnold,$1299,https://www.crateandbarrel.com//crawford-slipcovered-chair-with-box-pleated-skirt-by-jake-arnold/s248268,[],https://cb.scene7.com/is/image/Crate/CrawfordSlpChairWBoxPlts3QSSS23/raw/230123121934/crawford-slipcovered-chair-with-box-pleated-skirt-by-jake-arnold.jpg
326574,Lounge Leather Swivel Chair,$2199,https://www.crateandbarrel.com//lounge-leather-swivel-chair/s326574,"['Lukas Iron', 'Lukas Charcoal', 'Lukas Pecan', 'Lukas Toffee']",https://cb.scene7.com/is/image/Crate/LoungIILthrSwvChrIron3QSSS23/raw/230217111706/lounge-leather-swivel-chair.jpg
538063,Polly Sand Brown Accent Chair,$899,https://www.crateandbarrel.com//polly-sand-brown-accent-chair/s538063,[],https://cb.scene7.com/is/image/Crate/PollyChairKnollSand3QSSS23/raw/230307140736/polly-sand-brown-accent-chair.jpg
122003,Pacific Deep-Seat Chair with Wood Legs,$1299,https://www.crateandbarrel.com//pacific-deep-seat-chair-with-wood-legs/s122003,"['Bliss Cloud', 'Bliss Natural', 'Bliss Pewter', 'Bliss Dove', 'Bliss Dusk']",https://cb.scene7.com/is/image/Crate/PacificDChairBC3QSSF22_3D/raw/220825135625/pacific-deep-seat-chair-with-wood-legs.jpg
348529,Fernie Accent Chair,$1299,https://www.crateandbarrel.com//fernie-accent-chair/s348529,"['Lammy Winter White', 'Lammy Toast', 'Covet Crème', 'Covet Taupe', 'Covet Metal']",https://cb.scene7.com/is/image/Crate/CalderChair3QSSF20/raw/200513153340/fernie-chair.jpg
590275,Lounge Chair and a Half,$1249,https://www.crateandbarrel.com//lounge-chair-and-a-half/s590275,"['Taft Steel', 'View White', 'Taft Pearl', 'View Wheat', 'Taft Heather']",https://cb.scene7.com/is/image/Crate/LoungeChairHlfTS3QSSS23_3D/raw/221107113125/lounge-chair-and-a-half.jpg
538002,Tyson Sienna Brown Leather Accent Chair,$1899,https://www.crateandbarrel.com//tyson-sienna-brown-leather-accent-chair/s538002,[],https://cb.scene7.com/is/image/Crate/TysonChairHrlmSienna3QSSS23/raw/230313145236/tyson-sienna-brown-leather-accent-chair.jpg
318748,Pose Grey Wash Wood and Leather Accent Chair,$1599,https://www.crateandbarrel.com//pose-grey-wash-wood-and-leather-accent-chair/s318748,"['Mason Fern', 'Mason Ale', 'Mason Lead', 'Mason Stone']",https://cb.scene7.com/is/image/Crate/PoseGryWshLthrChair3QSSS23/raw/230112131324/pose-grey-wash-wood-and-leather-accent-chair.jpg
598352,Ojai Shearling Accent Chair,$2199,https://www.crateandbarrel.com//ojai-shearling-accent-chair/s598352,"['Shearling Natural', 'Triad Camel', 'Taurus Fern', 'Fairbanks Charcoal', 'Old Town Cayenne']",https://cb.scene7.com/is/image/Crate/OjaiShrlngWdFrmAccntChr3QSSS22/raw/211213154632/ojai-shearling-accent-chair.jpg
451651,Coronado Rattan Accent Chair,$699,https://www.crateandbarrel.com//coronado-rattan-accent-chair/s451651,[],https://cb.scene7.com/is/image/Crate/CoronadoRattanAccntChr3QSSS22/raw/211005124724/coronado-rattan-accent-chair.jpg
349195,Valen Swivel Accent Chair,$1299,https://www.crateandbarrel.com//valen-swivel-accent-chair/s349195,"['Covet Taupe', 'Covet Camel', 'Alpine Ivory', 'Alpine Beige', 'Alpine Onyx']",https://cb.scene7.com/is/image/Crate/ValenAccentChairCvCamel3QSSS23/raw/221130112345/valen-swivel-accent-chair.jpg
420519,Fields Cane Back White Wash and Natural Accent Chair by Leanne Ford,$999,https://www.crateandbarrel.com//fields-cane-back-white-wash-and-natural-accent-chair-by-leanne-ford/s420519,[],https://cb.scene7.com/is/image/Crate/FieldsWhtwshNatChr3QSSF21/raw/220330135416/fields-cane-back-white-wash-and-natural-cushion-accent-chair.jpg
302885,Lounge Deep Chair and a Half,$1279,https://www.crateandbarrel.com//lounge-deep-chair-and-a-half/s302885,"['Taft Cement', 'View White', 'Taft Pearl', 'View Wheat', 'Taft Heather']",https://cb.scene7.com/is/image/Crate/LoungeDChairNHalfTC3QSSS23_3D/raw/221013155326/lounge-deep-chair-and-a-half.jpg
248289,Crawford Slipcovered Chair by Jake Arnold,$1299,https://www.crateandbarrel.com//crawford-slipcovered-chair-by-jake-arnold/s248289,[],https://cb.scene7.com/is/image/Crate/CrawfordSlpChair3QSSS23/raw/230123121935/crawford-slipcovered-chair-by-jake-arnold.jpg
538091,Reggie Black Leather Accent Chair,$2099,https://www.crateandbarrel.com//reggie-black-leather-accent-chair/s538091,[],https://cb.scene7.com/is/image/Crate/ReggieChair3QSSS23/raw/230307140736/reggie-black-leather-accent-chair.jpg
402259,Fernie Accent Chair,$1299,https://www.crateandbarrel.com//fernie-accent-chair/s402259,"['Lammy Winter White', 'Covet Heather', 'Lammy Toast', 'Covet Crème', 'Covet Taupe']",https://cb.scene7.com/is/image/Crate/FernieChairHeather3QSSS23_3D/raw/230713104015/fernie-accent-chair.jpg
403406,Rivera Chair,$899,https://www.crateandbarrel.com//rivera-chair/s403406,"['Brussels Chestnut', 'Brussels Charcoal', 'Brussels Flax', 'Brussels Olive']",https://cb.scene7.com/is/image/Crate/RiveraChairChestnut3QSSF23/raw/230509105312/rivera-chair.jpg
538075,Bauer Thames Cream White Accent Chair with Performance Fabric,$1149,https://www.crateandbarrel.com//bauer-thames-cream-white-accent-chair-with-performance-fabric/s538075,[],https://cb.scene7.com/is/image/Crate/BauerChairCream3QSSS23/raw/230307140732/bauer-thames-cream-white-accent-chair-with-performance-fabric.jpg
237165,Wells Chair with Natural Leg Finish,$1099,https://www.crateandbarrel.com//wells-chair-with-natural-leg-finish/s237165,"['Tribute Gravel', 'Tribute Quartz', 'Tribute Carbon']",https://cb.scene7.com/is/image/Crate/WellsFChairNG3QSSF21_3D/raw/220823173356/wells-chair-with-natural-leg-finish.jpg
411903,Pelle Leather Reclining Accent Chair,$1899,https://www.crateandbarrel.com//pelle-leather-reclining-accent-chair/s411903,"['Beta Iron', 'Old Town Black', 'Benoit Stone', 'Taurus Fern', 'Fairbanks Charcoal']",https://cb.scene7.com/is/image/Crate/PelleLthrRclnrIron3QSSS22/raw/220429122325/pelle-leather-reclining-chair.jpg
349226,Valen Swivel Accent Chair,$1299,https://www.crateandbarrel.com//valen-swivel-accent-chair/s349226,"['Covet Taupe', 'Alpine Beige', 'Alpine Ivory', 'Alpine Onyx', 'Alpine Grey']",https://cb.scene7.com/is/image/Crate/ValenAccentChairAlpBeige3QSSS23/raw/230124151340/valen-swivel-accent-chair.jpg
406555,Infiniti Swivel Accent Chair,$1199,https://www.crateandbarrel.com//infiniti-swivel-accent-chair/s406555,"['Synergy Oatmeal', 'Synergy Pewter', 'Synergy Flannel', 'Synergy Hunter', 'Synergy Haze']",https://cb.scene7.com/is/image/Crate/InfinitiSwivelChairOat3QF19_3D/raw/230928123249/infiniti-swivel-chair.jpg
413663,Wythe Oversized Leather Chair,$2299,https://www.crateandbarrel.com//wythe-oversized-leather-chair/s413663,"['Montura Honey', 'Montura Bisque', 'Montura Olivia', 'Montura Smoke', 'Montura Fossil']",https://cb.scene7.com/is/image/Crate/WytheLthChairBisqueSOSSF23/raw/230612125510/wythe-leather-chair.jpg
475161,Lounge Deep Leather Chair,$2199,https://www.crateandbarrel.com//lounge-deep-leather-chair/s475161,"['Lukas Iron', 'Lukas Charcoal', 'Lukas Pecan', 'Lukas Toffee']",https://cb.scene7.com/is/image/Crate/LoungIIDeepLthr40CharIronSSS23/raw/230217111705/lounge-deep-leather-chair.jpg
598465,Pacific Leather Chair with Wood Legs,$2399,https://www.crateandbarrel.com//pacific-leather-chair-with-wood-legs/s598465,"['Ivers Pine', 'Ivers Buff']",https://cb.scene7.com/is/image/Crate/PacificLthrChair3QSSF22/raw/220817112257/pacific-leather-chair-with-wood-legs.jpg
